source,target,value
Khan Younis,IDPs at UNRWA Shelters,366000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,368000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,401000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,409000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,429000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,436000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,441000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,400000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,409000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,416000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,412000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,412000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,476000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,500000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,508000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,518000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,620000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,702000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,706000.0
Khan Younis,IDPs at Government Shelters,69000.0
North Gaza,IDPs at UNRWA Shelters,11000.0
North Gaza,IDPs at UNRWA Shelters,35000.0
North Gaza,IDPs at UNRWA Shelters,57000.0
North Gaza,IDPs at UNRWA Shelters,65000.0
North Gaza,IDPs at UNRWA Shelters,86000.0
North Gaza,IDPs at Government Shelters,9000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,14000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,16000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,22000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,22000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,22000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,24000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,28000.0
North Gaza,IDPs at UNRWA Shelters,112000.0
North Gaza,IDPs at Government Shelters,27000.0
